2025-09-06 20:38:51 | [33mWARNING[0m | canarias_scraper.GobcanScraper | _make_request:147 | Error de conexión: https://www.gobiernodecanarias.orgempleo/
2025-09-06 20:38:51 | [33mWARNING[0m | canarias_scraper.retry | wrapper:25 | Intento 2 falló, reintentando en 2s: HTTPSConnectionPool(host='www.gobiernodecanarias.orgempleo', port=443): Max retries exceeded with url: / (Caused by NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x719bafdbe570>: Failed to resolve 'www.gobiernodecanarias.orgempleo' ([Errno -2] Name or service not known)"))
2025-09-06 20:38:53 | DEBUG | canarias_scraper.GobcanScraper | _make_request:110 | Realizando petición GET: https://www.gobiernodecanarias.orgempleo/
2025-09-06 20:38:53 | [33mWARNING[0m | canarias_scraper.GobcanScraper | _make_request:147 | Error de conexión: https://www.gobiernodecanarias.orgempleo/
2025-09-06 20:38:53 | [33mWARNING[0m | canarias_scraper.retry | wrapper:25 | Intento 3 falló, reintentando en 4s: HTTPSConnectionPool(host='www.gobiernodecanarias.orgempleo', port=443): Max retries exceeded with url: / (Caused by NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x719bafdbe930>: Failed to resolve 'www.gobiernodecanarias.orgempleo' ([Errno -2] Name or service not known)"))
2025-09-06 20:38:57 | DEBUG | canarias_scraper.GobcanScraper | _make_request:110 | Realizando petición GET: https://www.gobiernodecanarias.orgempleo/
2025-09-06 20:38:57 | [33mWARNING[0m | canarias_scraper.GobcanScraper | _make_request:147 | Error de conexión: https://www.gobiernodecanarias.orgempleo/
2025-09-06 20:38:57 | [31mERROR[0m | canarias_scraper.retry | wrapper:21 | ❌ Falló después de 3 intentos: HTTPSConnectionPool(host='www.gobiernodecanarias.orgempleo', port=443): Max retries exceeded with url: / (Caused by NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x719bafdbecf0>: Failed to resolve 'www.gobiernodecanarias.orgempleo' ([Errno -2] Name or service not known)"))
2025-09-06 20:38:57 | [33mWARNING[0m | canarias_scraper.GobcanScraper | _scrape_area:55 | Error en área empleo: HTTPSConnectionPool(host='www.gobiernodecanarias.orgempleo', port=443): Max retries exceeded with url: / (Caused by NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x719bafdbecf0>: Failed to resolve 'www.gobiernodecanarias.orgempleo' ([Errno -2] Name or service not known)"))
2025-09-06 20:38:57 | [32mINFO[0m | canarias_scraper.GobcanScraper | scrape_documents:19 | Procesando área: industria
2025-09-06 20:38:57 | DEBUG | canarias_scraper.GobcanScraper | _make_request:110 | Realizando petición GET: https://www.gobiernodecanarias.orgindustria/
2025-09-06 20:38:57 | [33mWARNING[0m | canarias_scraper.GobcanScraper | _make_request:147 | Error de conexión: https://www.gobiernodecanarias.orgindustria/
2025-09-06 20:38:57 | [33mWARNING[0m | canarias_scraper.retry | wrapper:25 | Intento 1 falló, reintentando en 1s: HTTPSConnectionPool(host='www.gobiernodecanarias.orgindustria', port=443): Max retries exceeded with url: / (Caused by NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x719bafdbf290>: Failed to resolve 'www.gobiernodecanarias.orgindustria' ([Errno -2] Name or service not known)"))
2025-09-06 20:38:58 | DEBUG | canarias_scraper.GobcanScraper | _make_request:110 | Realizando petición GET: https://www.gobiernodecanarias.orgindustria/
2025-09-06 20:38:58 | [33mWARNING[0m | canarias_scraper.GobcanScraper | _make_request:147 | Error de conexión: https://www.gobiernodecanarias.orgindustria/
2025-09-06 20:38:58 | [33mWARNING[0m | canarias_scraper.retry | wrapper:25 | Intento 2 falló, reintentando en 2s: HTTPSConnectionPool(host='www.gobiernodecanarias.orgindustria', port=443): Max retries exceeded with url: / (Caused by NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x719bafdbf620>: Failed to resolve 'www.gobiernodecanarias.orgindustria' ([Errno -2] Name or service not known)"))
2025-09-06 20:39:00 | DEBUG | canarias_scraper.GobcanScraper | _make_request:110 | Realizando petición GET: https://www.gobiernodecanarias.orgindustria/
2025-09-06 20:39:00 | [33mWARNING[0m | canarias_scraper.GobcanScraper | _make_request:147 | Error de conexión: https://www.gobiernodecanarias.orgindustria/
